Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
3640,360,210,-5,-5,10,True,False
1407,465,375,-5,5,310,True,False
284,240,560,5,5,190,False,True
3737,125,275,5,5,140,False,True
1800,80,20,-5,5,190,True,False
4085,285,585,5,-5,220,False,True
2496,240,20,5,5,150,False,True
439,565,175,-5,5,270,True,False
1792,120,20,-5,-5,270,True,False
2505,285,65,5,5,240,False,True
2381,335,555,-5,-5,260,True,False
4192,760,300,-5,-5,430,True,False
578,130,290,5,-5,80,False,True
90,730,410,-5,-5,460,True,False
254,90,410,5,5,70,False,True
2919,775,335,5,-5,580,True,False
3602,550,400,-5,-5,390,True,False
2195,315,325,5,-5,510,False,True
3130,250,440,5,-5,320,False,True
1599,495,175,5,5,480,False,True
4109,405,585,5,-5,360,False,True
3780,340,490,5,5,250,False,True
292,280,560,5,-5,210,False,True
2802,190,240,5,5,260,False,True
1939,615,445,5,-5,610,True,False
1697,595,495,-5,-5,480,True,False
3577,675,525,-5,-5,640,True,False
1130,270,150,-5,5,110,True,False
1703,565,465,-5,-5,420,True,False
2938,710,240,-5,-5,390,True,False
28,540,440,5,5,450,False,True
1561,305,15,5,-5,320,False,True
3588,620,470,-5,-5,530,True,False
581,145,275,5,-5,110,False,True
4134,530,580,5,5,520,False,True
3964,320,250,-5,5,150,True,False
698,730,310,5,5,570,False,True
2332,580,360,-5,5,440,True,False
31,555,455,5,5,480,False,True
3066,70,400,-5,5,90,True,False
1714,510,410,-5,-5,310,True,False
920,260,260,5,5,230,False,True
1246,310,430,5,-5,400,False,True
2378,350,570,-5,-5,290,True,False
1249,325,415,5,-5,430,False,True
1409,455,385,-5,5,290,True,False
921,265,265,5,5,240,False,True
3299,485,405,-5,5,490,True,False
2180,240,400,5,-5,360,False,True
619,335,85,5,-5,490,False,True
3126,230,460,5,-5,280,False,True
929,305,305,5,5,320,False,True
1975,785,265,-5,-5,440,True,False
1921,525,535,5,-5,540,False,True
3505,545,275,5,5,650,False,True
586,170,250,5,-5,160,False,True
521,155,575,-5,-5,130,True,False
3495,495,225,5,5,550,False,True
3735,115,265,5,5,120,False,True
1410,450,390,-5,5,280,True,False
3823,555,455,5,-5,440,False,True
1106,390,30,-5,5,350,True,False
1546,230,90,5,-5,170,False,True
3107,135,555,5,-5,90,False,True
4199,725,265,-5,-5,360,True,False
36,580,480,5,5,530,False,True
3725,65,215,5,5,20,False,True
4107,395,585,5,-5,340,False,True
3120,200,490,5,-5,220,False,True
3729,85,235,5,5,60,False,True
2613,755,585,-5,-5,700,False,True
1084,500,80,-5,-5,570,True,False
2570,610,390,5,5,590,False,True
2646,590,540,-5,-5,450,True,False
3828,580,430,5,-5,490,False,True
1972,780,280,5,-5,470,True,False
3965,315,255,-5,5,140,True,False
217,95,225,-5,5,70,True,False
4130,510,580,5,5,480,False,True
1216,160,580,5,-5,100,False,True
769,495,495,-5,-5,430,True,False
3836,620,390,5,-5,570,False,True
1985,735,215,-5,-5,340,True,False
3314,410,480,-5,5,340,True,False
115,605,285,-5,-5,210,True,False
103,665,345,-5,-5,330,True,False
2046,430,90,-5,5,230,True,False
